pollution_level,resource_consumption,population_density,economic_activity,industrial_activity,traffic_density,waste_generation,renewable_energy_usage,air_quality_index,carbon_footprint,environmental_impact_score
59.81,69.01,292.92,95.68,67.35,149.64,35.91,22.34,89.88,244.51,26.47
46.13,78.26,315.12,106.68,90.53,159.79,52.75,31.35,72.24,316.16,37.11
67.38,67.75,368.78,96.58,82.97,171.07,35.08,35.75,72.2,222.62,59.46
54.29,86.67,279.8,98.68,42.18,214.66,62.95,22.13,89.92,310.2,15.63
53.39,63.22,401.78,65.82,86.43,168.17,48.38,32.04,61.17,309.65,42.93
48.72,63.86,399.6,107.83,85.88,269.86,61.95,32.9,64.76,383.82,80.74
49.32,85.25,293.44,98.22,80.3,241.09,45.2,19.7,79.82,221.75,63.63
47.37,65.55,271.12,132.21,93.38,232.33,52.69,33.99,82.93,269.96,70.9
46.98,86.01,334.86,81.21,69.91,195.21,52.09,34.38,84.85,341.13,35.28
55.31,78.92,282.62,63.83,85.05,260.57,49.55,28.44,76.98,316.77,84.48
40.64,68.45,242.17,112.36,56.5,191.28,45.67,36.26,105.3,309.02,13.06
39.24,51.87,364.06,106.93,86.11,198.75,53.92,35.68,77.72,252.19,43.08
38.77,69.81,360.82,79.83,109.3,206.8,40.74,30.52,77.69,270.46,69.46
70.46,71.02,307.78,69.41,65.08,228.07,37.91,27.74,72.03,362.25,63.93
55.3,81.67,236.86,130.75,68.6,225.48,62.43,25.14,81.24,297.42,49.7
53.04,85.88,238.52,128.28,69.35,180.99,57.27,29.81,86.15,318.77,33.32
39.42,63.15,305.36,50.25,81.95,178.68,50.66,32.85,92.04,294.24,34.17
56.23,78.01,275.01,90.84,64.05,225.6,66.65,28.38,65.11,240.85,48.02
